model,split,class,precision,recall,f1,support
signal,train,move,0.7837837837837838,1.0,0.8787878787878788,87.0
signal,val,move,0.14285714285714285,0.03571428571428571,0.05714285714285714,28.0
signal,test,move,0.22727272727272727,0.20833333333333334,0.21739130434782608,24.0
direction,train,up,1.0,1.0,1.0,38.0
direction,val,up,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
direction,test,up,0.6363636363636364,0.7,0.6666666666666666,10.0
combined_test,test,neutral,0.9030612244897959,0.9123711340206185,0.9076923076923077,194.0
combined_test,test,up,0.2,0.2,0.2,10.0
combined_test,test,down,0.25,0.21428571428571427,0.23076923076923078,14.0
